Date,Daily Cases,Total Cases,Daily Deaths,Total Deaths,Daily Tests,Total Tests,Daily Tests 2
1/26/20,1,1,,,,,
3/1/20,,,,,,,
3/2/20,,,,,2,2,2
3/3/20,1,2,,,2,4,2
3/4/20,,,,,11,15,11
3/5/20,,,,,8,23,8
3/6/20,1,3,,,21,44,21
3/7/20,2,5,,,4,48,4
3/8/20,,,,,8,56,8
3/9/20,1,6,,,44,100,44
3/10/20,,,,,47,147,47
3/11/20,2,8,,,103,250,103
3/12/20,,,,,315,565,312
3/13/20,2,10,,,424,989,422
3/14/20,1,11,,,222,1211,222
3/15/20,1,12,,,261,1472,261
3/16/20,5,17,,,961,2433,957
3/17/20,3,20,,,1300,3733,1294
3/18/20,7,27,,,1367,5100,1362
3/19/20,17,44,,,1561,6661,1552
3/20/20,19,63,,,1761,8422,1754
3/21/20,41,104,1,1,694,9116,691
3/22/20,48,152,1,2,603,9719,602
3/23/20,83,235,0,2,2314,12033,2304
3/24/20,91,326,3,5,2367,14400,2361
3/25/20,75,401,1,6,2501,16901,2494
3/26/20,107,508,2,8,2189,19090,2178
3/27/20,157,665,5,13,2169,21259,2156
3/28/20,108,773,2,15,1073,22332,1070
3/29/20,146,919,2,17,632,22964,631
3/30/20,238,1157,3,20,2132,25096,2126
3/31/20,132,1289,4,24,2005,27101,1996
4/1/20,124,1413,5,29,2043,29144,2036
4/2/20,185,1598,3,32,2101,31245,2087
4/3/20,171,1769,9,41,1957,33202,1945
4/4/20,250,2019,9,52,930,34132,927
4/5/20,250,2269,12,64,704,34836,699
4/6/20,187,2456,1,65,2296,37132,2288
4/7/20,119,2575,8,73,1822,38954,1817
4/8/20,151,2726,7,80,1631,40585,1624
4/9/20,292,3018,9,89,1819,42404,1814
4/10/20,94,3112,8,97,1656,44060,1649
4/11/20,281,3393,11,108,685,44745,678
4/12/20,146,3539,7,115,709,45454,705
4/13/20,163,3702,7,122,1932,47386,1916
4/14/20,104,3806,9,131,1820,49206,1812
4/15/20,156,3962,11,142,1858,51064,1847
4/16/20,272,4234,8,150,1917,52981,1904
4/17/20,273,4507,19,169,2087,55068,2078
4/18/20,212,4719,8,177,767,55835,762
4/19/20,210,4929,7,184,744,56579,738
4/20/20,135,5064,3,187,2304,58883,2284
4/21/20,187,5251,21,208,2084,60967,2068
4/22/20,208,5459,21,229,2112,63079,2092
4/23/20,310,5769,20,249,2233,65312,2225
4/24/20,276,6045,17,266,2703,68015,2686
4/25/20,235,6280,7,273,905,68920,891
4/26/20,246,6526,2,275,664,69584,656
4/27/20,190,6716,0,275,4064,73648,4041
4/28/20,232,6948,18,293,5134,78782,5116
4/29/20,254,7202,11,304,5987,84769,5947
4/30/20,446,7648,16,320,6579,91348,6546
5/1/20,314,7962,10,330,7798,99146,7744
5/2/20,402,8364,18,348,5923,105069,5867
5/3/20,276,8640,14,362,1568,106637,1551
5/4/20,279,8919,0,362,8929,115566,8875
5/5/20,386,9305,33,395,9022,124588,8974
5/6/20,402,9707,31,426,9030,133618,9000
5/7/20,238,9945,24,450,10438,144056,10398
5/8/20,581,10526,67,517,11134,155190,11094
5/9/20,434,10960,15,532,10764,165954,10704
5/10/20,159,11119,4,536,2159,168113,2140
5/11/20,261,11380,6,542,10804,178917,10770
5/12/20,356,11736,20,562,10606,189523,10603
5/13/20,440,12176,32,594,9973,199496,10080
5/14/20,498,12674,30,624,9102,208598,9812
5/15/20,495,13169,27,651,7783,216381,12161
5/16/20,502,13671,28,679,3585,219966,12747
5/17/20,266,13937,1,680,631,220597,3906
5/18/20,233,14170,6,686,10,220607,9996
5/19/20,386,14556,18,704,7828,228435,8789
5/20/20,341,14897,43,747,6487,234922,7419
5/21/20,418,15315,16,763,10318,245240,7012
5/22/20,293,15608,12,775,8069,253309,7098
5/23/20,431,16039,24,799,3654,256963,4151
5/24/20,300,16339,1,800,682,257645,2261
5/25/20,222,16561,6,806,15,257660,1860
5/26/20,222,16783,1,807,4686,262346,1689
5/27/20,479,17262,24,831,26,279550,26
5/28/20,501,17763,26,857,8055,287605,8055
5/29/20,702,18465,28,885,9890,297495,9890
